category,calories,fats_g,sugars_g,time
meat,101,8,0,08:40:06.12345
vegetables,44,0.3,3,08:40:06.12345
seafood,129,4,1,08:40:06.12345
fruit,49,4.4,0,08:40:06.12345
meat,95,4,0,08:40:06.12345
vegetables,24,0,1,08:40:06.12345
fruit,123,0,24,08:40:06.12345
fruit,59,0,9,08:40:06.12345
fruit,27,0,2,08:40:06.12345
vegetables,21,0,3,08:40:06.12345
fruit,61,0,12,08:40:06.12345
vegetables,26,0,4,08:40:06.12345
seafood,146,6,2,08:40:06.12345
vegetables,23,0,2,08:40:06.12345
fruit,51,1,13,08:40:06.12345
meat,111,8,2,08:40:06.12345
seafood,104,4,1,08:40:06.12345
meat,123,12,0,08:40:06.12345
seafood,201,8,4,08:40:06.12345
vegetables,35,1,7,08:40:06.12345
vegetables,21,1,3,08:40:06.12345
seafood,133,1.6,1,08:40:06.12345
meat,110,5,0,08:40:06.12345
seafood,192,6,0,08:40:06.12345
seafood,142,4,0,08:40:06.12345
fruit,31,0,4,08:40:06.12345
seafood,194,12,1,08:40:06.12345
